,LOC,PER,ORG,DATE
bam,0.9999743103981018,0.999994695186615,0.9999943375587463,
bbj,0.9999904036521912,0.9999916553497314,0.9999850392341614,
ewe,0.9999715685844421,0.9999786615371704,0.9999943375587463,
fon,0.9999768137931824,0.999986469745636,0.9999939203262329,
hau,0.9999882578849792,0.9999940395355225,0.9999909400939941,
ibo,0.9999887347221375,,0.999988317489624,
kin,0.9999902844429016,0.9999980330467224,0.9999842643737793,
lug,,0.9999895095825195,0.9999726414680481,
luo,,0.9999933838844299,0.9999671578407288,
mos,0.9999954700469971,0.9999892115592957,0.9999768733978271,
nya,0.9999720454216003,0.9999882578849792,0.9999868273735046,
pcm,0.9999849796295166,0.9999733567237854,0.9999105930328369,
sna,0.9999884963035583,0.9999954104423523,0.9999810457229614,
swa,0.9999911785125732,0.9999916553497314,0.9999605417251587,
tsn,0.999995231628418,,0.9999547004699707,
twi,0.9999926090240479,0.9999951124191284,0.9999922513961792,
wol,0.9999885559082031,0.9999935626983643,0.9999606013298035,
xho,0.9999827146530151,0.9999889731407166,0.9999793171882629,
yor,0.9999578595161438,,0.9999939203262329,
zul,0.9999638199806213,0.999990701675415,0.9999875426292419,
