,ORG,PER,DATE,LOC
bam,0.9968768358230591,0.9986797571182251,,0.9978943467140198
bbj,0.997582197189331,0.9982715249061584,,0.9955263137817383
ewe,0.9984965324401855,0.9986035823822021,,0.9970337748527527
fon,0.9982472062110901,0.9986945390701294,,0.9967649579048157
hau,0.9978256821632385,0.9987043738365173,,0.9957717061042786
ibo,0.9985783100128174,0.9986530542373657,,0.996487021446228
kin,0.9987179040908813,0.9985498189926147,,0.9977105855941772
lug,0.9973680973052979,0.998466968536377,,0.997428834438324
luo,0.9971648454666138,0.998649537563324,,0.9979350566864014
mos,0.9986648559570312,0.9989515542984009,,0.9973244071006775
nya,0.9987136125564575,0.9992464780807495,,0.9980138540267944
pcm,0.996313214302063,0.9989606142044067,,0.9972543716430664
sna,0.9987525343894958,0.9985948204994202,,0.9977553486824036
swa,0.9974711537361145,0.9987356662750244,,0.9963718056678772
tsn,0.9985641241073608,0.9987291693687439,,0.9970899224281311
twi,0.998723030090332,0.9991204738616943,,0.9977457523345947
wol,0.9986804723739624,0.9989559054374695,,0.9971775412559509
xho,0.998670756816864,0.9979432821273804,,0.9971758127212524
yor,0.9982374906539917,,,0.9946228265762329
zul,0.9988398551940918,0.9980417490005493,,0.9976439476013184
