,PER,LOC,DATE,ORG
bam,0.9706404805183411,0.9445317983627319,0.9689608216285706,0.9499040246009827
bbj,0.9706804752349854,0.9090347290039062,0.948565661907196,0.972359299659729
ewe,0.9610390663146973,0.9601883292198181,0.9512379169464111,0.9808985590934753
fon,0.9728171825408936,0.935275673866272,0.9544490575790405,0.9798712134361267
hau,0.9621009826660156,0.9320046305656433,0.9176104664802551,0.9760733842849731
ibo,0.97580486536026,0.9177995324134827,0.980766773223877,0.9785653948783875
kin,0.9714850783348083,0.9643862843513489,0.9789377450942993,0.9817226529121399
lug,0.9727064967155457,0.9788007140159607,0.957518458366394,0.9678435921669006
luo,0.9627650380134583,0.9680585265159607,0.9718304872512817,0.9787708520889282
mos,0.973650336265564,0.9385479092597961,0.9369906187057495,0.9775549173355103
nya,0.978251576423645,0.9375433325767517,0.9635492563247681,0.9782928824424744
pcm,0.9731625318527222,0.9508930444717407,0.8660970330238342,0.9373526573181152
sna,0.9691189527511597,0.9492156505584717,0.9747448563575745,0.9762755036354065
swa,0.9548592567443848,0.9544656872749329,0.8810974955558777,0.9414258599281311
tsn,0.9741076827049255,0.9592492580413818,0.9689136743545532,0.9777724146842957
twi,0.9773616194725037,0.9722069501876831,0.9647855758666992,0.9853187203407288
wol,0.9754148125648499,0.9225378632545471,0.9652217626571655,0.9723352789878845
xho,0.954491138458252,0.9442809224128723,0.9578051567077637,0.970251739025116
yor,0.9620891809463501,0.8910905122756958,0.961121678352356,0.9711354374885559
zul,0.9696040153503418,0.953655481338501,0.9614798426628113,0.9847906231880188
