,ORG,PER,LOC,DATE
bam,0.9998601675033569,0.999899685382843,0.9998869299888611,0.9998049139976501
bbj,0.9997750520706177,0.9998969435691833,0.9997788071632385,0.9997003078460693
ewe,0.9997855424880981,0.9999076128005981,0.9998149871826172,0.999458909034729
fon,0.9998294115066528,0.9998971819877625,0.9998545050621033,0.9997052550315857
hau,0.9999217391014099,0.9999366402626038,0.9998919367790222,0.999868631362915
ibo,0.9998011589050293,0.9999475479125977,0.9998756647109985,0.9999119639396667
kin,0.9999148845672607,0.9999514818191528,0.9999291896820068,0.9998719692230225
lug,0.9999473690986633,0.9999801516532898,0.9998180270195007,0.9998034238815308
luo,0.9997583627700806,0.9999279975891113,0.9998822808265686,0.9998298287391663
mos,0.9998888373374939,0.9999418258666992,0.9999045133590698,0.9997767210006714
nya,0.9998442530632019,0.9999682307243347,0.9998964667320251,0.9997919797897339
pcm,0.9996681213378906,0.9998879432678223,0.9997876286506653,0.9993366599082947
sna,0.999957799911499,0.9999534487724304,0.9998670816421509,0.9998800754547119
swa,0.9997068643569946,0.9999529123306274,0.9998535513877869,0.9997455477714539
tsn,0.9996830224990845,0.9999347925186157,0.9998120665550232,0.9998090863227844
twi,0.9998958706855774,0.999932587146759,0.9998905658721924,0.9997865557670593
wol,0.9997935891151428,0.9999332427978516,0.999823272228241,0.9998382329940796
xho,0.9999275207519531,0.9999021887779236,0.9998360276222229,0.9999380111694336
yor,0.9998478293418884,0.9998440742492676,0.999600887298584,0.9997627139091492
zul,0.9999530911445618,0.9998810887336731,0.9998847842216492,0.999906063079834
