,DATE,LOC,PER,ORG
bam,,0.9999967217445374,,0.9999586343765259
bbj,,0.9999834299087524,,0.9999959468841553
ewe,,,0.9999899864196777,0.9999963045120239
fon,,0.9999935030937195,0.9999897480010986,0.9999956488609314
hau,,,0.9999890327453613,0.999972403049469
ibo,,0.9999932646751404,,0.9999968409538269
kin,,0.9999619722366333,,0.9999940395355225
lug,,,0.9999990463256836,0.9999891519546509
luo,,,0.9999967813491821,0.9999932646751404
mos,,,0.9999949932098389,0.999995768070221
nya,,0.9999932050704956,,0.9999932646751404
pcm,,0.9999905824661255,0.9999973773956299,
sna,,0.9999958872795105,0.9999975562095642,
swa,,0.9999850988388062,0.9999966025352478,
tsn,,0.999979555606842,,0.9999926090240479
twi,,0.9999939203262329,0.9999931454658508,0.9999967217445374
wol,,0.9999912977218628,,0.9999973773956299
xho,,0.9999923706054688,0.9999976754188538,
yor,,0.9999954104423523,,0.999995768070221
zul,,0.9999920725822449,,
