,PER,DATE,LOC,ORG
bam,,,0.9480719566345215,0.8948652744293213
bbj,0.9555864334106445,,0.8784915208816528,0.943362832069397
ewe,0.9668800830841064,,,0.9546048641204834
fon,0.9621317386627197,,0.9446587562561035,0.956436038017273
hau,0.9772109985351562,,0.9413149952888489,0.9669802784919739
ibo,,,0.9372844099998474,0.9650604128837585
kin,0.978370726108551,,0.9395022392272949,0.9698732495307922
lug,0.9674950838088989,,,0.9675626754760742
luo,0.9739911556243896,,,0.9540692567825317
mos,0.967603325843811,,0.9235929250717163,0.961870014667511
nya,0.9825783371925354,,0.9464994072914124,0.9685372114181519
pcm,0.9761390686035156,,0.9307865500450134,0.909332275390625
sna,0.9718980193138123,,0.9462668299674988,0.9676445722579956
swa,0.9733690619468689,,0.9526752829551697,0.9541721940040588
tsn,,,0.9295006990432739,0.9623687267303467
twi,0.9803123474121094,,0.9483649730682373,0.9745563268661499
wol,0.9736745357513428,,0.9337318539619446,0.9484362602233887
xho,0.9407132863998413,,0.9270679950714111,
yor,,,0.8598994612693787,0.9456084966659546
zul,0.9683753252029419,,0.9268814325332642,
