,DATE,ORG,LOC,PER
bam,,0.9386840462684631,0.9246657490730286,0.9667788743972778
bbj,,0.9254614114761353,0.8480547070503235,0.9460290670394897
ewe,,0.9553582072257996,0.9185326099395752,0.9626138806343079
fon,,0.9309125542640686,0.9088356494903564,0.9465168714523315
hau,,0.9761180877685547,0.9323735237121582,0.9821673035621643
ibo,,0.9587950110435486,0.940088152885437,0.9782114624977112
kin,,0.976542592048645,0.9434701204299927,0.9875808954238892
lug,,0.9878981113433838,0.9476596713066101,0.9888663291931152
luo,,0.9644902944564819,0.9282209277153015,0.9784291982650757
mos,,0.9646924138069153,0.9191675782203674,0.9717816710472107
nya,,0.9790898561477661,0.9385268092155457,0.9826541543006897
pcm,,0.9214302897453308,0.8885051608085632,0.9445374608039856
sna,,0.9773405194282532,0.9416593909263611,0.9859062433242798
swa,,0.950198769569397,0.9144769310951233,0.963175356388092
tsn,,0.9736418724060059,0.9242397546768188,0.980111300945282
twi,,0.9709751009941101,0.9312375783920288,0.9701283574104309
wol,,0.9699159860610962,0.9153104424476624,0.9713035821914673
xho,,0.9826616048812866,0.9277457594871521,0.9653710722923279
yor,,0.9395933747291565,0.8926346898078918,
zul,,0.9810373187065125,0.9207256436347961,0.9818903207778931
