,LOC,ORG,PER,DATE
bam,0.9999988079071045,0.9999977946281433,0.9999992251396179,0.9999983310699463
bbj,0.9999989867210388,0.9999991655349731,0.9999993443489075,0.9999986886978149
ewe,0.9999996423721313,0.9999990463256836,0.9999992251396179,0.999998927116394
fon,0.9999989867210388,0.9999988675117493,0.9999979138374329,0.9999982714653015
hau,0.9999993443489075,0.9999994039535522,0.9999995231628418,0.9999983310699463
ibo,0.9999992847442627,0.9999988079071045,0.9999998211860657,0.9999995231628418
kin,0.9999993443489075,0.9999995231628418,0.9999984502792358,0.9999989867210388
lug,0.999999463558197,0.9999997615814209,0.9999998807907104,0.9999994039535522
luo,0.9999997019767761,0.9999990463256836,0.9999994039535522,0.9999988079071045
mos,0.9999995827674866,0.9999991655349731,0.999999463558197,0.9999987483024597
nya,0.9999997615814209,0.9999995231628418,0.9999994039535522,0.999998927116394
pcm,0.9999992251396179,0.9999988079071045,0.9999992251396179,0.9999980926513672
sna,0.9999998211860657,0.9999998211860657,0.9999995827674866,0.9999992251396179
swa,0.9999992847442627,0.999998927116394,0.9999989867210388,0.9999985098838806
tsn,0.9999995231628418,0.9999993443489075,0.9999996423721313,0.9999988079071045
twi,0.9999992251396179,0.9999993443489075,0.9999987483024597,0.9999974966049194
wol,0.9999996423721313,0.9999992251396179,0.999999463558197,0.9999991059303284
xho,0.9999996423721313,0.9999995827674866,0.9999989867210388,0.999999463558197
yor,0.9999991059303284,0.9999994039535522,0.9999992251396179,0.9999992251396179
zul,0.9999992847442627,0.999999463558197,0.9999985098838806,0.9999992251396179
