,ORG,DATE,PER,LOC
bam,0.9999935030937195,,0.9999948740005493,0.9999967813491821
bbj,0.9999967217445374,,0.999997615814209,0.9999985098838806
ewe,0.9999927878379822,,0.999999463558197,0.9999947547912598
fon,0.9999963641166687,,0.9999987483024597,0.9999979734420776
hau,0.9999951124191284,,0.9999989867210388,0.9999979138374329
ibo,0.9999960660934448,,0.999999463558197,0.9999951124191284
kin,0.9999926090240479,,0.9999986886978149,0.9999950528144836
lug,0.9999993443489075,,0.9999997615814209,0.9999955892562866
luo,0.9999891519546509,,0.9999979734420776,0.999998927116394
mos,0.9999973773956299,,0.9999949932098389,0.9999993443489075
nya,0.9999969601631165,,0.9999992251396179,0.9999957084655762
pcm,0.9999959468841553,,0.9999993443489075,0.9999986290931702
sna,0.9999992251396179,,0.9999976754188538,0.9999986290931702
swa,0.9999951720237732,,0.999998927116394,0.9999983310699463
tsn,0.9999960660934448,,0.9999985098838806,0.9999956488609314
twi,0.999996542930603,,0.9999979734420776,0.9999982714653015
wol,0.9999957084655762,,0.9999986886978149,0.9999932050704956
xho,0.999995231628418,,0.9999988079071045,0.9999945759773254
yor,0.9999975562095642,,,0.9999884366989136
zul,0.9999933242797852,,0.9999994039535522,0.9999932050704956
