,LOC,DATE,PER,ORG
bam,0.9323236346244812,,,0.8805306553840637
bbj,0.8627434372901917,,0.9451195001602173,0.9419838190078735
ewe,,,0.9569268822669983,0.9522247314453125
fon,0.9232839941978455,,0.9516527056694031,0.9484277963638306
hau,0.9216538071632385,,0.971785843372345,0.9675092101097107
ibo,0.9313395023345947,,,0.9634717702865601
kin,0.9294252395629883,,0.9741087555885315,0.9665353298187256
lug,,,0.9595832824707031,0.9671269655227661
luo,,,0.9674677848815918,0.9368529915809631
mos,0.9073835611343384,,0.9562962651252747,0.9556910991668701
nya,0.9262126088142395,,0.9787721037864685,0.9644100666046143
pcm,0.9162059426307678,,0.9654685854911804,0.8912780284881592
sna,0.9215878248214722,,0.9687314033508301,0.9631164073944092
swa,0.9297161102294922,,0.9614423513412476,0.937903106212616
tsn,0.9198846817016602,,,0.9632211327552795
twi,0.9329085946083069,,0.9738056063652039,0.9747545123100281
wol,0.9073461294174194,,0.9675233364105225,0.948523759841919
xho,0.9078563451766968,,0.9286079406738281,
yor,0.8389913439750671,,,0.9378690719604492
zul,0.9092157483100891,,0.9619178771972656,
