,DATE,LOC,PER,ORG
bam,,0.9976179599761963,0.9984414577484131,0.9965940713882446
bbj,,0.9944782853126526,0.9979116916656494,0.9972513318061829
ewe,,0.9972459673881531,0.9984456896781921,0.9987364411354065
fon,,0.9961927533149719,0.9982940554618835,0.9980511665344238
hau,,0.9958135485649109,0.9985313415527344,0.9970825910568237
ibo,,0.9971771240234375,0.9988767504692078,0.99879390001297
kin,,0.9989026784896851,0.9985997676849365,0.9993007183074951
lug,,0.99894779920578,0.9991570711135864,0.9972298741340637
luo,,0.9989901185035706,0.9987747669219971,0.9986870288848877
mos,,0.99723219871521,0.9988222122192383,0.9987626671791077
nya,,0.9979248642921448,0.999191403388977,0.9991187453269958
pcm,,0.9980377554893494,0.9988777041435242,0.996658444404602
sna,,0.9977975487709045,0.9985430240631104,0.999036967754364
swa,,0.9965598583221436,0.9983970522880554,0.9981054067611694
tsn,,0.997501790523529,0.9988817572593689,0.9988989233970642
twi,,0.9984102845191956,0.9988246560096741,0.9991031885147095
wol,,0.9968301057815552,0.9987953901290894,0.9984173774719238
xho,,0.9973154664039612,0.9979900121688843,0.9985285401344299
yor,,0.9961209297180176,0.9980358481407166,0.998431921005249
zul,,0.998058021068573,0.9983261823654175,0.9989404678344727
