,DATE,LOC,PER,ORG
bam,,0.9674907922744751,0.9820619225502014,0.9620964527130127
bbj,,0.9403993487358093,0.9765293002128601,0.976166307926178
ewe,,0.9661445617675781,0.9798242449760437,0.985369861125946
fon,,0.9558053612709045,0.9821956157684326,0.9822440147399902
hau,,0.9484103918075562,0.9800284504890442,0.9749013781547546
ibo,,0.9588634967803955,0.9837196469306946,0.9862002730369568
kin,,0.9830954670906067,0.9795381426811218,0.9897370934486389
lug,,0.9834569096565247,0.9879802465438843,0.9730779528617859
luo,,0.983349084854126,0.9770451188087463,0.9823878407478333
mos,,0.9669409394264221,0.9842860102653503,0.9844985604286194
nya,,0.9659218192100525,0.9881311058998108,0.986718475818634
pcm,,0.9745709896087646,0.9827330112457275,0.9618467092514038
sna,,0.9685059189796448,0.9855015277862549,0.9887601733207703
swa,,0.9696361422538757,0.9731910824775696,0.9746560454368591
tsn,,0.9686709642410278,0.9826973676681519,0.9818858504295349
twi,,0.9790757894515991,0.9864681363105774,0.9912995100021362
wol,,0.9523918628692627,0.9854544401168823,0.980954647064209
xho,,0.9605945348739624,0.9643222689628601,0.9769170880317688
yor,,0.9507144689559937,0.9761716723442078,0.9845235347747803
zul,,0.9692240953445435,0.980082094669342,0.9864668250083923
