,PER,ORG,LOC,DATE
bam,0.9801111221313477,0.9692500829696655,0.960622251033783,
bbj,0.9778546094894409,0.9767747521400452,0.9328112602233887,
ewe,0.9727393984794617,0.983734667301178,0.965273380279541,
fon,0.9778135418891907,0.9840758442878723,0.9457505941390991,
hau,0.9758257269859314,0.9733067154884338,0.9433685541152954,
ibo,0.9809238314628601,0.9835172891616821,0.9394883513450623,
kin,0.9763331413269043,0.9879103302955627,0.9806739091873169,
lug,0.9784652590751648,0.973210334777832,0.979688286781311,
luo,0.9742778539657593,0.9786731004714966,0.9761149883270264,
mos,0.9823703169822693,0.9835453629493713,0.9564764499664307,
nya,0.9848134517669678,0.986277163028717,0.9520115852355957,
pcm,0.9785242080688477,0.9530187845230103,0.9700226783752441,
sna,0.9740146398544312,0.9821168780326843,0.9625173211097717,
swa,0.9674742221832275,0.9651340842247009,0.9625204801559448,
tsn,0.9791960716247559,0.9762560725212097,0.9664541482925415,
twi,0.9828362464904785,0.9902204871177673,0.9779303669929504,
wol,0.9826474785804749,0.9763817191123962,0.9403172731399536,
xho,0.962090790271759,0.9760596752166748,0.9571040868759155,
yor,0.9729861617088318,0.9762374758720398,0.9419691562652588,
zul,0.9764628410339355,0.9863036870956421,0.9648118019104004,
