,PER,DATE,ORG,LOC
bam,,,0.8863398432731628,0.9253218173980713
bbj,,,0.9363242983818054,0.7976123690605164
ewe,0.9493368864059448,,0.9209286570549011,
fon,0.9406788945198059,,0.953541100025177,0.8797709941864014
hau,0.9710095524787903,,0.94547039270401,0.8622919321060181
ibo,,,0.9441991448402405,0.8676086068153381
kin,0.9615286588668823,,0.9224563241004944,0.9193305969238281
lug,0.9380640983581543,,0.9437490701675415,
luo,0.9538748264312744,,0.9035712480545044,
mos,0.9416159391403198,,0.9425467848777771,
nya,0.9797182083129883,,0.9406556487083435,0.8845418691635132
pcm,0.9733277559280396,,0.845158576965332,0.9415647387504578
sna,0.9618306159973145,,0.9059443473815918,0.8641984462738037
swa,0.9658058285713196,,0.910245954990387,0.9484918713569641
tsn,,,0.9440999627113342,0.87394118309021
twi,0.9781589508056641,,0.9644704461097717,0.9497030973434448
wol,0.969414472579956,,0.9286071062088013,0.8726688623428345
xho,0.8916984796524048,,,0.8384251594543457
yor,,,0.9334582686424255,0.693756639957428
zul,0.9270634055137634,,,0.8616679906845093
