,LOC,PER,ORG,DATE
bam,0.9999931454658508,0.9999929666519165,0.999988853931427,
bbj,0.9999936819076538,0.9999932050704956,0.9999932646751404,
ewe,0.9999933242797852,0.999991238117218,0.9999889135360718,
fon,0.9999901652336121,0.9999868273735046,0.9999903440475464,
hau,0.9999973177909851,0.9999987483024597,0.9999975562095642,
ibo,0.99998939037323,,0.9999916553497314,
kin,0.9999939203262329,0.9999978542327881,0.9999949336051941,
lug,,0.999994695186615,0.9999978542327881,
luo,,0.9999851584434509,0.9999940991401672,
mos,0.9999979734420776,0.9999978542327881,0.9999969005584717,
nya,0.9999945759773254,0.9999963045120239,0.9999975562095642,
pcm,0.9999929070472717,0.9999935030937195,0.9999952912330627,
sna,0.9999978542327881,0.9999953508377075,0.9999987483024597,
swa,0.9999954104423523,0.999993085861206,0.9999943971633911,
tsn,0.9999973177909851,,0.9999973773956299,
twi,0.9999977350234985,0.9999987483024597,0.9999964833259583,
wol,0.9999953508377075,0.9999933838844299,0.9999977946281433,
xho,0.9999948143959045,0.9999933242797852,0.9999968409538269,
yor,0.999975323677063,,0.9999910593032837,
zul,0.9999891519546509,0.9999959468841553,0.9999922513961792,
