,LOC,PER,ORG,DATE
bam,0.9322938919067383,0.9620754718780518,0.9480478167533875,0.9603093266487122
bbj,0.9058584570884705,0.9662411212921143,0.9737595319747925,0.9482420682907104
ewe,0.9433906078338623,0.9593339562416077,0.9793089628219604,0.946904182434082
fon,0.9187520742416382,0.9692422747612,0.9734019637107849,0.9385047554969788
hau,0.8947870135307312,0.9527455568313599,0.9706673622131348,0.9400495886802673
ibo,0.9125641584396362,0.9720320701599121,0.9749871492385864,0.9812230467796326
kin,0.9481583833694458,0.9660547375679016,0.9855431318283081,0.9739464521408081
lug,0.9597063660621643,0.9659776091575623,0.9563643932342529,0.9771007299423218
luo,0.954562246799469,0.9569302797317505,0.974769115447998,0.964984118938446
mos,0.925462543964386,0.9728122353553772,0.9678863883018494,0.9320115447044373
nya,0.9220923185348511,0.9722851514816284,0.9813466668128967,0.9618140459060669
pcm,0.9391287565231323,0.9667903184890747,0.9367806911468506,0.8826292753219604
sna,0.9338054656982422,0.9570751190185547,0.9684703350067139,0.9785773158073425
swa,0.9444296360015869,0.9659789204597473,0.9297717213630676,0.8999853134155273
tsn,0.9410011768341064,0.9701089262962341,0.9761940240859985,0.9747074246406555
twi,0.9611278176307678,0.971809446811676,0.9841429591178894,0.9607791304588318
wol,0.9047865867614746,0.9732548594474792,0.9709926247596741,0.9726865291595459
xho,0.9189093708992004,0.9586126208305359,0.9715218544006348,0.9596481323242188
yor,0.9060105085372925,0.9520834684371948,0.954965353012085,0.952171802520752
zul,0.9384030699729919,0.9642842411994934,0.9804038405418396,0.9691553711891174
